UMAP 1,UMAP 2,Latent ID
9.536597,11.48364,layers.14_latent0
11.038729,11.593194,layers.14_latent2
9.718594,8.230677,layers.14_latent3
8.584931,10.506529,layers.14_latent4
10.072942,9.300695,layers.14_latent5
9.9068165,7.862104,layers.14_latent6
10.332257,7.8037696,layers.14_latent7
9.595498,10.634068,layers.14_latent8
11.209394,10.559502,layers.14_latent9
12.367883,10.410038,layers.14_latent10
9.029403,11.333193,layers.14_latent11
10.694878,13.501344,layers.14_latent12
9.838388,9.959781,layers.14_latent14
11.433919,8.368651,layers.14_latent15
10.170043,12.8794155,layers.14_latent16
9.32706,11.624734,layers.14_latent18
8.129587,11.99176,layers.14_latent19
9.880285,10.784815,layers.14_latent20
8.928996,11.260016,layers.14_latent21
10.943533,12.446527,layers.14_latent23
9.253998,8.206788,layers.14_latent24
8.8431,11.031116,layers.14_latent25
9.160556,12.354486,layers.14_latent26
10.461119,8.883209,layers.14_latent27
9.72805,13.134256,layers.14_latent28
11.531952,11.809184,layers.14_latent29
11.505511,8.263279,layers.14_latent30
8.805702,12.815838,layers.14_latent31
12.176837,11.952217,layers.14_latent32
9.272604,8.408328,layers.14_latent33
9.841976,10.719049,layers.14_latent34
9.258313,10.037607,layers.14_latent35
8.843307,11.107493,layers.14_latent36
10.303473,10.458308,layers.14_latent37
11.895103,10.361313,layers.14_latent38
9.770412,8.679281,layers.14_latent40
9.262235,10.975014,layers.14_latent41
7.8685994,11.860544,layers.14_latent42
12.292218,10.292492,layers.14_latent43
11.54362,10.798495,layers.14_latent45
9.608558,9.130475,layers.14_latent46
10.506924,8.146518,layers.14_latent47
11.951531,11.586909,layers.14_latent48
10.6794615,9.630944,layers.14_latent50
9.855184,10.538516,layers.14_latent51
9.802736,11.304088,layers.14_latent52
10.630793,13.119794,layers.14_latent53
9.5391035,8.787444,layers.14_latent54
12.256829,11.912668,layers.14_latent55
9.353169,11.213375,layers.14_latent56
9.765679,13.22539,layers.14_latent57
11.31732,11.603182,layers.14_latent58
9.502367,11.534293,layers.14_latent59
11.905856,9.933827,layers.14_latent60
8.9080105,10.725992,layers.14_latent61
11.597716,10.117949,layers.14_latent63
10.873248,12.198813,layers.14_latent64
8.888833,11.441882,layers.14_latent65
8.551756,11.563985,layers.14_latent66
9.66236,10.073359,layers.14_latent67
12.245073,11.133069,layers.14_latent68
9.194267,11.3977785,layers.14_latent69
9.426856,7.9667726,layers.14_latent70
11.478583,10.475873,layers.14_latent71
8.613853,11.580569,layers.14_latent73
11.88123,11.780059,layers.14_latent74
9.717371,7.907699,layers.14_latent75
11.733632,9.15677,layers.14_latent79
11.567325,9.411929,layers.14_latent80
11.702611,11.685745,layers.14_latent81
10.540219,11.911243,layers.14_latent82
8.736134,12.255051,layers.14_latent83
8.86974,13.022951,layers.14_latent84
11.774199,12.076413,layers.14_latent85
10.901704,9.91457,layers.14_latent86
8.787794,11.844263,layers.14_latent87
11.871016,9.88189,layers.14_latent88
9.637154,12.347153,layers.14_latent91
9.336598,10.112186,layers.14_latent92
8.513681,11.863905,layers.14_latent93
8.5278225,11.294187,layers.14_latent94
8.63716,10.9171295,layers.14_latent95
10.198904,9.247304,layers.14_latent96
9.871962,8.981697,layers.14_latent97
11.81174,12.131467,layers.14_latent98
8.150641,12.023136,layers.14_latent100
9.326297,11.866009,layers.14_latent101
9.461608,11.170981,layers.14_latent102
9.560348,11.203094,layers.14_latent103
9.879403,8.57769,layers.14_latent104
7.643486,12.040533,layers.14_latent105
11.693608,8.176054,layers.14_latent106
10.995538,11.542785,layers.14_latent108
9.706061,11.322373,layers.14_latent109
9.785514,9.254979,layers.14_latent110
9.024992,11.618652,layers.14_latent111
9.7166815,11.663284,layers.14_latent112
10.154634,7.994594,layers.14_latent113
11.540022,12.035066,layers.14_latent114
10.6885395,11.019116,layers.14_latent115
8.918869,10.722948,layers.14_latent117
9.784195,10.597254,layers.14_latent118
9.351037,10.885984,layers.14_latent119
9.924584,10.938368,layers.14_latent120
9.23859,8.659451,layers.14_latent121
8.949375,10.843118,layers.14_latent122
8.632192,11.007316,layers.14_latent123
8.962299,10.965083,layers.14_latent124
8.857785,11.9232235,layers.14_latent125
10.072161,8.892713,layers.14_latent127
11.960791,10.218092,layers.14_latent128
11.781539,11.506359,layers.14_latent129
9.364761,8.732014,layers.14_latent130
9.375258,12.704161,layers.14_latent131
10.063471,10.411001,layers.14_latent132
10.032454,12.954826,layers.14_latent133
8.305412,9.85403,layers.14_latent134
11.976449,10.139759,layers.14_latent135
8.62021,12.376443,layers.14_latent136
11.664265,8.3442,layers.14_latent137
8.782154,10.790489,layers.14_latent140
8.791476,10.543221,layers.14_latent141
9.550452,8.522011,layers.14_latent142
10.540263,7.66757,layers.14_latent143
11.565344,8.277523,layers.14_latent144
11.179792,11.770743,layers.14_latent145
11.715601,8.094879,layers.14_latent146
11.683882,12.034603,layers.14_latent147
9.657236,11.254239,layers.14_latent148
9.49026,11.50668,layers.14_latent149
