LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent59715,0.555534,0.5368868,0.35893306,0.74274385
layers.14_latent48663,0.46101674,0.44962195,0.29742572,0.73331636
layers.14_latent24795,0.5625061,0.57060397,0.25329775,0.7979775
layers.14_latent12408,0.5081564,0.5096366,0.42637688,0.59494543
layers.14_latent52557,0.6475321,0.6755241,0.46992448,0.70721793
layers.14_latent55546,0.4721629,0.48810437,0.31225285,0.6785436
layers.14_latent42648,0.59694594,0.5744811,0.3576802,0.81211835
layers.14_latent53017,0.5044111,0.54158354,0.34166023,0.6131763
layers.14_latent22663,0.5142638,0.5098494,0.28580385,0.7785194
layers.14_latent60347,0.6024121,0.5883024,0.38782576,0.7841574
layers.14_latent55155,0.4686591,0.44095597,0.31594557,0.7444448
layers.14_latent22544,0.64596784,0.61635566,0.527388,0.804019
layers.14_latent44431,0.6162383,0.5938355,0.49407795,0.73680997
layers.14_latent9609,0.47204137,0.4878534,0.2712016,0.66097414
layers.14_latent40041,0.49830723,0.47103947,0.29452556,0.7779434
layers.14_latent36877,0.5400554,0.5215741,0.38884994,0.70075905
layers.14_latent37626,0.49242863,0.47216237,0.3292033,0.7006224
layers.14_latent3383,0.64368963,0.6287738,0.52714664,0.8082354
layers.14_latent4677,0.4349235,0.47687906,0.18010893,0.79524624
layers.14_latent40300,0.590783,0.6034992,0.26670387,0.7960907
layers.14_latent4719,0.478931,0.51124406,0.2755181,0.57772005
layers.14_latent58430,0.47493154,0.48347008,0.21594334,0.7888539
layers.14_latent8363,0.5546717,0.5837846,0.32419148,0.6324922
layers.14_latent29962,0.4659125,0.4726227,0.22968668,0.6576884
layers.14_latent38560,0.5932282,0.5907942,0.42701864,0.72306174
layers.14_latent37315,0.5776147,0.61464,0.29326013,0.7004614
layers.14_latent9947,0.556203,0.57933223,0.35097724,0.804993
layers.14_latent60929,0.5498228,0.5100827,0.3800793,0.82365054
layers.14_latent37511,0.60465205,0.5742082,0.4696324,0.8059328
layers.14_latent59128,0.5088248,0.48121506,0.39271173,0.65706104
layers.14_latent19290,0.5564426,0.5702785,0.37186685,0.679752
layers.14_latent20345,0.60314476,0.6116817,0.30258715,0.7721306
layers.14_latent34788,0.45804802,0.45326948,0.22017516,0.63956887
layers.14_latent21147,0.5904104,0.61041737,0.4274588,0.6900464
layers.14_latent36563,0.54117286,0.57638454,0.34014192,0.6803705
layers.14_latent50767,0.5960338,0.54728305,0.4189346,0.8400512
layers.14_latent62117,0.48083562,0.49170524,0.2512721,0.7095748
layers.14_latent31800,0.5001901,0.4860581,0.2865008,0.75206214
layers.14_latent59237,0.39919227,0.39191234,0.272306,0.5164799
layers.14_latent8050,0.49514875,0.5070228,0.33292633,0.5733187
layers.14_latent10655,0.6528618,0.670054,0.5210732,0.76842666
layers.14_latent23216,0.58574677,0.58913904,0.33599824,0.87584263
layers.14_latent4955,0.37153628,0.37844408,0.17768633,0.5364871
layers.14_latent61494,0.39998445,0.413994,0.25110242,0.5575384
layers.14_latent61930,0.5052799,0.4984805,0.29943228,0.6846391
layers.14_latent14649,0.42075348,0.43392044,0.25546378,0.5594113
layers.14_latent29640,0.60294735,0.6173086,0.4383937,0.72166723
layers.14_latent10684,0.6091061,0.60195315,0.43070108,0.8070557
layers.14_latent45988,0.5081085,0.50643253,0.34450525,0.67200506
layers.14_latent4502,0.6385688,0.64994806,0.4220117,0.757329
layers.14_latent4293,0.50468576,0.5062708,0.32955417,0.6620054
layers.14_latent53290,0.7315861,0.7218209,0.6545701,0.83996725
layers.14_latent14535,0.54182637,0.5255216,0.4051484,0.72267634
layers.14_latent46387,0.5593997,0.5676749,0.41229862,0.6285327
layers.14_latent17396,0.4500491,0.3999362,0.28454012,0.77591866
layers.14_latent57975,0.35604864,0.3102881,0.27517194,0.57836825
layers.14_latent38735,0.5511862,0.50069416,0.3636704,0.72283375
layers.14_latent8610,0.5371748,0.5130444,0.31692836,0.81269807
layers.14_latent37382,0.6077784,0.6169496,0.32178402,0.7252577
layers.14_latent19189,0.40916476,0.3923819,0.32920924,0.5769715
layers.14_latent25372,0.49210334,0.5011573,0.3724903,0.63656276
layers.14_latent21760,0.5750204,0.5453074,0.34690198,0.80258036
layers.14_latent59828,0.45880526,0.45258617,0.29678318,0.6553572
layers.14_latent6559,0.5163807,0.55103534,0.36622465,0.6674038
layers.14_latent59638,0.4539873,0.43887085,0.2505084,0.6420718
layers.14_latent34315,0.5450171,0.5581185,0.42831558,0.6413722
layers.14_latent15449,0.49310786,0.4858113,0.39028308,0.6286333
layers.14_latent34163,0.5213453,0.5128455,0.32249206,0.7120036
layers.14_latent18840,0.4393733,0.4903313,0.21350074,0.6565555
layers.14_latent9197,0.51406705,0.5149044,0.42292172,0.5893065
layers.14_latent46404,0.50708044,0.49112958,0.3995191,0.6840985
layers.14_latent16933,0.6073105,0.5736157,0.49036193,0.81565607
layers.14_latent9621,0.46383095,0.4080492,0.25315538,0.70858514
layers.14_latent42801,0.5369737,0.5258451,0.42244172,0.6859238
layers.14_latent7598,0.52462345,0.57546246,0.21570346,0.7429872
layers.14_latent32048,0.55167854,0.5429659,0.37960598,0.74450946
layers.14_latent6951,0.45282102,0.4557601,0.23744246,0.7194057
layers.14_latent3100,0.4990508,0.53560555,0.29940087,0.6770886
layers.14_latent44366,0.52164495,0.50098217,0.31567445,0.82106227
layers.14_latent4965,0.555705,0.53251994,0.37587386,0.7062261
layers.14_latent21305,0.6319558,0.6446024,0.3580422,0.8534864
layers.14_latent8140,0.64917874,0.64106286,0.5072186,0.84532726
layers.14_latent33245,0.47761083,0.4959204,0.2673044,0.7245541
layers.14_latent56328,0.433834,0.415267,0.27074674,0.67446125
layers.14_latent15787,0.5426916,0.5248587,0.4368253,0.6641684
layers.14_latent59864,0.6554686,0.6008892,0.5374781,0.83756226
layers.14_latent50284,0.6210238,0.66431785,0.379762,0.78754187
layers.14_latent8821,0.5594462,0.54140365,0.46867156,0.73241055
layers.14_latent26300,0.5478407,0.52400506,0.46340567,0.6786325
layers.14_latent23139,0.5535969,0.547117,0.40009278,0.68612903
layers.14_latent1928,0.6507873,0.67984617,0.39136624,0.76451766
layers.14_latent11275,0.65710497,0.6354035,0.57008857,0.7573601
layers.14_latent20176,0.3319217,0.32640538,0.05954714,0.5808222
layers.14_latent16281,0.5351708,0.49751824,0.41649953,0.669841
